com.samsung.health.skin_temperature,6302031,3
stat_m1,stat_m2,baseline,start_time,binning_data,stat_n,tag_id,lower_bound,update_time,create_time,client_data_id,upper_bound,max,min,client_data_ver,temperature,time_offset,deviceuuid,comment,pkg_name,end_time,datauuid
33.5924,1128.9445,33.78945,2025-01-28 19:47:00.000,2113c3b7-8792-4a07-86f4-b121c1f218d6.binning_data.json,378,31301,32.517475,2025-01-29 02:48:03.761,2025-01-29 02:48:03.761,,35.03442,34.763794,32.215065,,33.5924,UTC+0530,tFCCLQvz7k,,com.sec.android.app.shealth,2025-01-29 02:22:00.000,2113c3b7-8792-4a07-86f4-b121c1f218d6,
33.861526,1146.9542,33.77024,2025-01-29 20:29:00.000,2c9e01a4-9f06-4c6b-907e-5722b5d6854d.binning_data.json,380,31301,32.54407,2025-01-30 03:30:45.939,2025-01-30 03:30:45.939,,35.016705,35.31859,32.662506,,33.861526,UTC+0530,tFCCLQvz7k,,com.sec.android.app.shealth,2025-01-30 03:11:00.000,2c9e01a4-9f06-4c6b-907e-5722b5d6854d,
34.385693,1183.0042,33.870285,2025-01-30 19:47:00.000,537d627a-62e6-47dd-83d1-3ab3e8e0fcee.binning_data.json,450,31301,32.61863,2025-01-31 03:17:12.339,2025-01-31 03:17:12.339,,35.035778,35.600746,32.88102,,34.385693,UTC+0530,tFCCLQvz7k,,com.sec.android.app.shealth,2025-01-31 03:10:00.000,537d627a-62e6-47dd-83d1-3ab3e8e0fcee,
33.593258,1129.3773,33.90033,2025-02-01 20:43:00.000,94cab335-82e9-421a-b53b-ac74980e9d21.binning_data.json,422,31301,32.725002,2025-02-02 04:04:09.983,2025-02-02 04:04:09.983,,35.171246,35.362953,31.950756,,33.593258,UTC+0530,tFCCLQvz7k,,com.sec.android.app.shealth,2025-02-02 04:04:00.000,94cab335-82e9-421a-b53b-ac74980e9d21,
34.035442,1158.8418,33.885998,2025-02-03 02:46:00.000,9c38c66a-158a-465f-8a9e-332bf7cf63a6.binning_data.json,115,31301,32.69134,2025-02-03 05:26:34.532,2025-02-03 05:26:34.532,,35.179577,34.87915,32.463913,,34.035442,UTC+0530,tFCCLQvz7k,,com.sec.android.app.shealth,2025-02-03 05:02:00.000,9c38c66a-158a-465f-8a9e-332bf7cf63a6,
33.47025,1120.8087,33.887875,2025-02-03 19:56:00.000,05f85033-c58e-43f7-9995-fbe8c5f44923.binning_data.json,448,31301,32.681866,2025-02-04 03:46:38.671,2025-02-04 03:46:38.671,,35.167065,34.83597,31.854876,,33.47025,UTC+0530,tFCCLQvz7k,,com.sec.android.app.shealth,2025-02-04 03:46:00.000,05f85033-c58e-43f7-9995-fbe8c5f44923,
33.4897,1122.996,33.868397,2025-02-04 19:26:00.000,3c59f198-38c6-4691-b306-b534dac10cf2.binning_data.json,400,31301,32.652836,2025-02-05 02:20:45.652,2025-02-05 02:20:45.652,,35.167057,36.422756,31.610437,,33.4897,UTC+0530,tFCCLQvz7k,,com.sec.android.app.shealth,2025-02-05 02:20:00.000,3c59f198-38c6-4691-b306-b534dac10cf2,
,,33.956722,2023-09-30 22:34:00.000,1210ac6e-4ab6-4ecf-9bd8-816a8a042aa3.binning_data.json,,31301,32.39011,2023-10-01 05:35:36.199,2023-10-01 05:35:36.199,,35.523335,35.567898,32.660034,,34.218464,UTC+0530,z/yAO0rODv,,com.sec.android.app.shealth,2023-10-01 05:11:00.000,1210ac6e-4ab6-4ecf-9bd8-816a8a042aa3,
,,34.074604,2023-08-24 20:50:00.000,336e7818-1ca8-49cf-aad5-5dbd1994b0d6.binning_data.json,,31301,32.030247,2023-08-25 03:32:44.267,2023-08-25 03:32:44.267,,36.11896,35.841293,33.19576,,34.86078,UTC+0530,z/yAO0rODv,,com.sec.android.app.shealth,2023-08-25 03:10:00.000,336e7818-1ca8-49cf-aad5-5dbd1994b0d6,
,,34.18621,2023-08-31 21:10:00.000,6b406124-8928-49a6-8776-b4ba08b34780.binning_data.json,,31301,32.375366,2023-09-01 02:46:24.501,2023-09-01 02:46:24.501,,35.997055,35.121452,32.92707,,33.882946,UTC+0530,z/yAO0rODv,,com.sec.android.app.shealth,2023-09-01 02:46:00.000,6b406124-8928-49a6-8776-b4ba08b34780,
,,,2023-08-19 20:09:00.000,e6378e6e-97b3-411d-8406-4906d6421cec.binning_data.json,,31301,,2023-08-20 03:33:38.466,2023-08-20 03:33:38.466,,,35.783276,31.902857,,34.17891,UTC+0530,z/yAO0rODv,,com.sec.android.app.shealth,2023-08-20 03:02:00.000,e6378e6e-97b3-411d-8406-4906d6421cec,
,,34.049072,2023-09-21 20:24:00.000,70dd5485-f466-406e-941a-aa62ecf17a96.binning_data.json,,31301,32.46469,2023-09-21 23:06:35.600,2023-09-21 23:06:35.600,,35.63345,34.91284,32.43426,,33.77133,UTC+0530,z/yAO0rODv,,com.sec.android.app.shealth,2023-09-21 22:43:00.000,70dd5485-f466-406e-941a-aa62ecf17a96,
