com.samsung.shealth.exercise.program_schedule,6302031,3
duration,planned_date,state_update_time,week_info_id,custom,pace_info_id,day_info_id,update_time,create_time,state_updated_by,program_id,state,distance,deviceuuid,pkg_name,tracker_id,workout_day,program_info_id,datauuid
1680,2025-02-14 22:30:00.000,2025-01-14 03:46:44.041,,7c181a6e-a7ad-4dcb-b208-d6e8b8addf51.custom.json,110100412,,2025-01-14 03:46:44.463,2025-01-14 03:46:44.463,200,670a87ad-2b43-482f-8538-c7d9f0d2eb16,0,2350.0,EmOHuC/o0o,com.sec.android.app.shealth,,1,program.sport_couch_to_5k_ex_v010,7c181a6e-a7ad-4dcb-b208-d6e8b8addf51,
0,2025-02-23 22:30:00.000,2025-01-14 03:46:44.045,,da0f8879-83f0-4d39-a5a9-f8e45a306c3b.custom.json,0,,2025-01-14 03:46:44.502,2025-01-14 03:46:44.502,200,670a87ad-2b43-482f-8538-c7d9f0d2eb16,500,0.0,EmOHuC/o0o,com.sec.android.app.shealth,,0,program.sport_couch_to_5k_ex_v010,da0f8879-83f0-4d39-a5a9-f8e45a306c3b,
0,2025-03-06 22:30:00.000,2025-01-14 03:46:44.046,,721b9abf-360d-45ef-b873-d4a5df2cec4b.custom.json,0,,2025-01-14 03:46:44.526,2025-01-14 03:46:44.526,200,670a87ad-2b43-482f-8538-c7d9f0d2eb16,500,0.0,EmOHuC/o0o,com.sec.android.app.shealth,,0,program.sport_couch_to_5k_ex_v010,721b9abf-360d-45ef-b873-d4a5df2cec4b,
0,2025-02-16 22:30:00.000,2025-01-14 03:46:44.044,,2d303e53-d828-4d96-a283-69ca678f8523.custom.json,0,,2025-01-14 03:46:44.474,2025-01-14 03:46:44.474,200,670a87ad-2b43-482f-8538-c7d9f0d2eb16,500,0.0,EmOHuC/o0o,com.sec.android.app.shealth,,0,program.sport_couch_to_5k_ex_v010,2d303e53-d828-4d96-a283-69ca678f8523,
0,2025-02-25 22:30:00.000,2025-01-14 03:46:44.045,,4918bfb4-c7c6-40f9-94f5-2e3ef68192b2.custom.json,0,,2025-01-14 03:46:44.506,2025-01-14 03:46:44.506,200,670a87ad-2b43-482f-8538-c7d9f0d2eb16,500,0.0,EmOHuC/o0o,com.sec.android.app.shealth,,0,program.sport_couch_to_5k_ex_v010,4918bfb4-c7c6-40f9-94f5-2e3ef68192b2,
1860,2025-02-19 22:30:00.000,2025-01-14 03:46:44.044,,47f2628e-187e-40e1-84fb-35835005aa9c.custom.json,110100514,,2025-01-14 03:46:44.490,2025-01-14 03:46:44.490,200,670a87ad-2b43-482f-8538-c7d9f0d2eb16,0,2864.0,EmOHuC/o0o,com.sec.android.app.shealth,,1,program.sport_couch_to_5k_ex_v010,47f2628e-187e-40e1-84fb-35835005aa9c,
0,2025-02-22 22:30:00.000,2025-01-14 03:46:44.045,,a9d7c125-4311-4283-82a9-65eb9cd44a34.custom.json,0,,2025-01-14 03:46:44.499,2025-01-14 03:46:44.499,200,670a87ad-2b43-482f-8538-c7d9f0d2eb16,500,0.0,EmOHuC/o0o,com.sec.android.app.shealth,,0,program.sport_couch_to_5k_ex_v010,a9d7c125-4311-4283-82a9-65eb9cd44a34,
0,2025-03-02 22:30:00.000,2025-01-14 03:46:44.046,,f6101c12-6e65-4595-a11a-09659c3d4700.custom.json,0,,2025-01-14 03:46:44.513,2025-01-14 03:46:44.513,200,670a87ad-2b43-482f-8538-c7d9f0d2eb16,500,0.0,EmOHuC/o0o,com.sec.android.app.shealth,,0,program.sport_couch_to_5k_ex_v010,f6101c12-6e65-4595-a11a-09659c3d4700,
1860,2025-02-17 22:30:00.000,2025-01-14 03:46:44.044,,ac7a7499-73b2-4375-a1a2-08cc10097c73.custom.json,110100513,,2025-02-18 11:25:05.410,2025-01-14 03:46:44.478,200,670a87ad-2b43-482f-8538-c7d9f0d2eb16,300,2864.0,EmOHuC/o0o,com.sec.android.app.shealth,ac971aa2-737b-4b57-80fe-1706fe3c4702,1,program.sport_couch_to_5k_ex_v010,ac7a7499-73b2-4375-a1a2-08cc10097c73,
0,2025-02-20 22:30:00.000,2025-01-14 03:46:44.044,,7a8acfbf-2fcb-4c9b-b2ee-33792ae4d126.custom.json,0,,2025-01-14 03:46:44.494,2025-01-14 03:46:44.494,200,670a87ad-2b43-482f-8538-c7d9f0d2eb16,500,0.0,EmOHuC/o0o,com.sec.android.app.shealth,,0,program.sport_couch_to_5k_ex_v010,7a8acfbf-2fcb-4c9b-b2ee-33792ae4d126,
