com.samsung.shealth.badge,6302031,1
number_of_streak,start_time,exercise_type,device_type,status,sleep_coaching_session_uuid,update_time,create_time,source_pkg_name,key,program_id,is_shown,time_offset,extra_data,deviceuuid,pkg_name,exercise_data_uuid,controller_id,end_time,datauuid
,2024-08-02 00:00:00.000,,,1,7fafc3e4-5a9a-4eea-a071-b320e86c438f,2024-12-09 11:25:29.360,2024-12-09 11:25:29.360,,sleep_coaching_completion_deer,,,UTC+0530,,EmOHuC/o0o,com.sec.android.app.shealth,,Sleep.Goal,2024-08-22 00:00:00.000,1b41850a-a11c-49ed-9e17-3ae2e6534f9b,
1,2024-12-09 18:30:00.000,,,1,,2024-12-10 03:44:23.274,2024-12-10 03:44:23.274,,sleep_excellent_sleep,,,UTC+0530,,EmOHuC/o0o,com.sec.android.app.shealth,,Sleep.Goal,2024-12-10 18:29:59.999,8dc3c109-5018-4443-a9cf-a8491598e54f,
1,2024-12-11 18:30:00.000,,,1,,2024-12-12 04:02:15.878,2024-12-12 04:02:15.878,,sleep_excellent_sleep,,,UTC+0530,,EmOHuC/o0o,com.sec.android.app.shealth,,Sleep.Goal,2024-12-12 18:29:59.999,25af71b9-ee71-455b-9c62-a9c6ce27b254,
1,2024-12-19 18:30:00.000,,,1,,2024-12-20 03:29:16.975,2024-12-20 03:29:16.975,,sleep_excellent_sleep,,,UTC+0530,,EmOHuC/o0o,com.sec.android.app.shealth,,Sleep.Goal,2024-12-20 18:29:59.999,aadda87f-9179-40e8-9fdc-5db7a60789c3,
1,2025-03-29 09:04:00.272,,,2,,2025-03-29 09:04:00.955,2024-11-18 02:40:30.391,,weight_1_month_streak,,,UTC+0530,,tFCCLQvz7k,com.sec.android.app.shealth,,tracker.weight,2025-03-29 09:04:00.272,a5dc6528-e742-42fe-bf11-605ae07f3fd2,
1,2024-12-31 18:30:00.000,,,1,,2025-01-01 02:52:05.471,2025-01-01 02:52:05.471,,sleep_excellent_sleep,,,UTC+0530,,EmOHuC/o0o,com.sec.android.app.shealth,,Sleep.Goal,2025-01-01 18:29:59.999,72e31ece-1929-4fa8-982f-e878b083678f,
1,2025-01-07 18:30:00.000,,,1,,2025-01-08 03:12:47.044,2025-01-08 03:12:47.044,,sleep_excellent_sleep,,,UTC+0530,,EmOHuC/o0o,com.sec.android.app.shealth,,Sleep.Goal,2025-01-08 18:29:59.999,fcf634cc-6786-4cb7-9d65-2ece54c0b769,
1,2025-01-11 18:30:00.000,,,1,,2025-01-12 01:07:17.166,2025-01-12 01:07:17.166,,sleep_excellent_sleep,,,UTC+0530,,EmOHuC/o0o,com.sec.android.app.shealth,,Sleep.Goal,2025-01-12 18:29:59.999,daa62581-0640-440d-8469-c436f1e338ca,
1,2025-01-12 18:30:00.000,,,1,,2025-01-13 01:49:40.189,2025-01-13 01:49:40.189,,sleep_excellent_sleep,,,UTC+0530,,EmOHuC/o0o,com.sec.android.app.shealth,,Sleep.Goal,2025-01-13 18:29:59.999,7e1ba400-3f8c-4ff7-97fc-aa2e1d44ae77,
,2025-01-13 03:35:02.170,13003,,1,,2025-01-13 06:05:08.546,2025-01-13 06:05:08.546,,exercise_goal_first_achieve,,,UTC+0530,,tFCCLQvz7k,com.sec.android.app.shealth,9b03bdfb-8c60-4b2b-8b31-3560df03aec4,tracker.exercise,2025-01-13 06:05:07.645,cb2d3671-5b09-48d9-adb9-387a9414cfec,
1,2025-01-13 18:30:00.000,,,1,,2025-01-14 01:18:57.636,2025-01-14 01:18:57.636,,sleep_excellent_sleep,,,UTC+0530,,EmOHuC/o0o,com.sec.android.app.shealth,,Sleep.Goal,2025-01-14 18:29:59.999,d125bfe6-f19a-4ec7-89f6-c2c5ed0d4f9a,
0,1970-01-01 00:00:00.000,,,0,,2025-07-04 19:14:28.527,2024-10-29 01:42:27.045,,sleep_3_days_streak,,,UTC-0600,"1751695199999,1",3QItrwNcp5,com.sec.android.app.shealth,,Sleep.Goal,2025-07-05 05:59:59.999,dfbcb6fb-8f3f-4811-9508-b88fd038c3b3,
,2023-09-21 18:30:00.000,,100003,1,,2025-01-14 20:23:20.919,2023-09-22 08:10:52.061,com.sec.android.app.shealth,step_milestone_20k_steps,,,UTC+0530,15301.771899938583,EmOHuC/o0o,com.sec.android.app.shealth,,tracker.pedometer,2023-09-22 18:29:59.999,35c0eca9-8f74-4b1f-947f-623b03f3ff97,
