com.samsung.shealth.exercise.weather,6302031,3
uv_index,sunset_time,start_time,latitude,custom,wind_direction,phrase,sundown_time,temperature_scale,content_provider,update_time,create_time,type,longitude,temperature,humidity,time_offset,deviceuuid,exercise_id,pkg_name,wind_speed_unit,forecast_time,wind_speed,icon_info_id,datauuid
,,2022-02-06 05:56:59.293,11.408341,,90.E,Fair,,1,TWC,2022-02-06 05:57:06.828,2022-02-06 05:57:06.828,1,76.70475,16.0,59,UTC+0530,WDnH3DyUJX,19da6723-d123-4c7c-9cf9-226602c787da,com.sec.android.app.shealth,km/h,,5.0,1,e8a6a282-a1bd-4386-8743-163a8cc94723,
,,2022-03-07 15:14:56.153,13.026403,,,Partly Cloudy,,1,,2022-03-07 16:58:27.147,2022-03-07 16:58:27.147,1,80.17379,28.0,,UTC+0530,WDnH3DyUJX,b0f2d746-fc39-486d-a594-068162ccbc09,com.sec.android.app.shealth,,,,,fe107e59-2acc-4846-85fd-ab93314b49c8,
,,2022-03-08 18:22:15.082,13.031542,,110.ESE,Clear,,1,TWC,2022-03-08 18:59:37.229,2022-03-08 18:59:37.229,1,80.164635,26.0,90,UTC+0530,WDnH3DyUJX,033801d8-296b-4ad4-8157-2880a4ed1c4b,com.sec.android.app.shealth,km/h,,6.0,18,f8ac7b58-fefb-438d-b483-b6995e148079,
,,2022-03-20 08:28:13.032,11.264696,,250.WSW,Partly Cloudy,,1,TWC,2022-03-20 09:29:16.624,2022-03-20 09:29:16.624,1,78.39403,31.0,40,UTC+0530,WDnH3DyUJX,27bb15c3-2c86-469d-9c17-09032dc6ae34,com.sec.android.app.shealth,km/h,,8.0,2,d1e3dc1f-cad1-47f1-b222-d928db1e15fd,
,,2022-04-12 16:29:50.523,13.021113,,140.SE,Partly Cloudy,,1,TWC,2022-04-12 16:49:46.593,2022-04-12 16:49:46.593,1,80.17636,30.0,84,UTC+0530,GTxP26lM/E,c8092e8b-799c-4b38-a68d-daa7440de03b,com.sec.android.app.shealth,km/h,,11.0,19,b7bae5c5-c884-4136-a2be-98549557d1e1,
,,2022-04-15 23:55:17.422,13.022711,,210.SSW,Mostly Cloudy,,1,TWC,2022-04-16 00:16:17.939,2022-04-16 00:16:17.939,1,80.17603,29.0,87,UTC+0530,GTxP26lM/E,bf1366ea-785d-4c00-a6d9-b83cdf56cc4b,com.sec.android.app.shealth,km/h,,14.0,3,77c94374-8315-45df-86ab-ddba4dfd18cd,
,,2022-04-23 14:38:15.990,13.040514,,150.SSE,Partly Cloudy,,1,TWC,2022-04-23 15:32:38.614,2022-04-23 15:32:38.614,1,80.23312,31.0,81,UTC+0530,GTxP26lM/E,72360f04-7329-4be6-891c-950a5010fe3d,com.sec.android.app.shealth,km/h,,18.0,19,7a1d9fc8-c243-406d-ae5d-04191f907d2b,
,,2022-04-24 05:09:30.297,12.8793125,,210.SSW,Partly Cloudy,,1,TWC,2022-04-24 11:25:15.186,2022-04-24 11:25:15.186,1,80.08302,35.0,59,UTC+0530,GTxP26lM/E,36463876-594b-4fa2-8094-45c7a29507e8,com.sec.android.app.shealth,km/h,,8.0,2,9d7c3fd9-0db3-4e7a-b1e5-5ad1b68df10b,
,,2022-04-26 03:22:37.694,13.021106,,240.WSW,Partly Cloudy,,1,TWC,2022-04-26 03:38:51.976,2022-04-26 03:38:51.976,1,80.182,32.0,80,UTC+0530,GTxP26lM/E,2880f3f7-275d-48ec-88c3-db4f97dde3c6,com.sec.android.app.shealth,km/h,,16.0,2,a9638bef-0651-4d50-af5a-5c26b27d84a8,
,,2022-04-27 03:39:52.279,13.024145,,210.SSW,Partly Cloudy,,1,TWC,2022-04-27 03:44:07.392,2022-04-27 03:44:07.392,1,80.17789,32.0,82,UTC+0530,GTxP26lM/E,5a77ce8e-689c-4b0e-ac6c-5b8f1c174c2f,com.sec.android.app.shealth,km/h,,10.0,2,fda17304-498a-43e8-8819-a6e0d0fc508c,
