com.samsung.health.hrv,6302031,1
create_sh_ver,start_time,custom,binning_data,modify_sh_ver,update_time,create_time,time_offset,deviceuuid,comment,pkg_name,end_time,datauuid
62800471,2025-01-15 21:30:00.000,,49306733-3c06-4d05-a588-81964e376729.binning_data.json,62800471,2025-01-15 22:15:00.611,2025-01-15 22:15:00.611,UTC+0530,tFCCLQvz7k,,com.sec.android.app.shealth,2025-01-15 22:15:00.582,49306733-3c06-4d05-a588-81964e376729,
62800471,2025-01-15 22:30:00.000,,d9c77bcb-daca-4a6e-b836-decc34053512.binning_data.json,62800471,2025-01-15 23:15:46.213,2025-01-15 23:15:46.213,UTC+0530,tFCCLQvz7k,,com.sec.android.app.shealth,2025-01-15 23:15:46.184,d9c77bcb-daca-4a6e-b836-decc34053512,
62800471,2025-01-15 23:30:00.000,,e67c3c5f-6359-45a8-92fb-cbada9622c79.binning_data.json,62800471,2025-01-16 00:05:03.996,2025-01-16 00:05:03.996,UTC+0530,tFCCLQvz7k,,com.sec.android.app.shealth,2025-01-16 00:05:03.964,e67c3c5f-6359-45a8-92fb-cbada9622c79,
62800471,2025-01-16 00:30:00.000,,ceccc3d4-0253-4321-8528-ec699042baf4.binning_data.json,62800471,2025-01-16 00:54:03.149,2025-01-16 00:54:03.149,UTC+0530,tFCCLQvz7k,,com.sec.android.app.shealth,2025-01-16 00:54:03.032,ceccc3d4-0253-4321-8528-ec699042baf4,
62800471,2025-01-16 01:30:00.000,,a2032c51-dbe3-44e6-9ab1-78f944f50b01.binning_data.json,62800471,2025-01-16 02:15:40.286,2025-01-16 02:15:40.286,UTC+0530,tFCCLQvz7k,,com.sec.android.app.shealth,2025-01-16 02:15:40.243,a2032c51-dbe3-44e6-9ab1-78f944f50b01,
62800471,2025-01-16 02:30:00.000,,92c72f39-88f1-4db8-acc0-53b1c2f8b635.binning_data.json,62800471,2025-01-16 02:39:49.601,2025-01-16 02:39:49.601,UTC+0530,tFCCLQvz7k,,com.sec.android.app.shealth,2025-01-16 02:39:49.440,92c72f39-88f1-4db8-acc0-53b1c2f8b635,
62800471,2025-01-16 20:30:00.000,,0a91f84b-33a6-4221-941e-dc8a225bdf24.binning_data.json,62800471,2025-01-16 21:11:20.125,2025-01-16 21:11:20.125,UTC+0530,tFCCLQvz7k,,com.sec.android.app.shealth,2025-01-16 21:11:06.295,0a91f84b-33a6-4221-941e-dc8a225bdf24,
62800471,2025-01-16 21:30:00.000,,9206311a-1ea3-470b-879b-0d3121354ec1.binning_data.json,62800471,2025-01-16 22:17:38.390,2025-01-16 22:17:38.390,UTC+0530,tFCCLQvz7k,,com.sec.android.app.shealth,2025-01-16 22:15:20.259,9206311a-1ea3-470b-879b-0d3121354ec1,
62800471,2025-01-16 22:30:00.000,,81406f32-49b8-4495-aa98-368af0ec541e.binning_data.json,62800471,2025-01-16 23:13:34.312,2025-01-16 23:13:34.312,UTC+0530,tFCCLQvz7k,,com.sec.android.app.shealth,2025-01-16 23:13:34.292,81406f32-49b8-4495-aa98-368af0ec541e,
62800471,2025-01-16 23:30:00.000,,b7a1b265-080d-4064-ac14-850966275f01.binning_data.json,62800471,2025-01-17 00:07:55.653,2025-01-17 00:07:55.653,UTC+0530,tFCCLQvz7k,,com.sec.android.app.shealth,2025-01-17 00:07:55.541,b7a1b265-080d-4064-ac14-850966275f01,
