com.samsung.shealth.program.sleep_coaching.mission,6302031,3
create_sh_ver,answer,priority,modify_sh_ver,update_time,create_time,data_version,day_index,mission_id,deviceuuid,pkg_name,is_key_habit,session_id,datauuid,is_done
,null,,,2022-04-03 19:22:41.196,2022-03-22 04:10:30.872,1,13,SP_MSN_14,EmOHuC/o0o,com.sec.android.app.shealth,,79d084d6-699a-479e-a7f0-45cc4b060a70,6c104db1-713b-45a0-ade3-1ac8cfc58f03,1,
,null,,,2022-04-03 19:22:27.688,2022-03-22 04:10:30.871,1,12,SP_MSN_12,EmOHuC/o0o,com.sec.android.app.shealth,,79d084d6-699a-479e-a7f0-45cc4b060a70,4a0c14be-bd8d-4593-a7cf-d573195337b0,1,
,null,,,2022-04-03 19:22:29.231,2022-03-22 04:10:30.871,1,12,SP_MSN_13,EmOHuC/o0o,com.sec.android.app.shealth,,79d084d6-699a-479e-a7f0-45cc4b060a70,b7ddaadf-de73-44f5-af65-7ff5cd703fbf,1,
,null,,,2022-04-03 19:22:17.037,2022-03-22 04:10:30.871,1,11,SP_MSN_13,EmOHuC/o0o,com.sec.android.app.shealth,,79d084d6-699a-479e-a7f0-45cc4b060a70,2b342784-2ba5-4114-9f53-e8fc6d4687d2,1,
,null,,,2022-04-03 19:22:14.651,2022-03-22 04:10:30.871,1,11,SP_MSN_12,EmOHuC/o0o,com.sec.android.app.shealth,,79d084d6-699a-479e-a7f0-45cc4b060a70,c69a3a50-9df0-40b4-947f-cf964167c5b2,1,
,["SP_SVY1_ANS_06"],,,2022-04-03 19:22:35.690,2022-03-22 04:10:30.871,1,13,SP_MSN_01,EmOHuC/o0o,com.sec.android.app.shealth,,79d084d6-699a-479e-a7f0-45cc4b060a70,733c0b87-91e7-4df8-8b43-594d92d3409e,1,
,["SP_SVY1_ANS_06"],,,2022-04-03 19:22:08.387,2022-03-22 04:10:30.871,1,11,SP_MSN_01,EmOHuC/o0o,com.sec.android.app.shealth,,79d084d6-699a-479e-a7f0-45cc4b060a70,d75d6a03-d587-42cb-b9ca-baee71bf96a9,1,
,null,,,2022-04-03 19:22:19.288,2022-03-22 04:10:30.871,1,11,SP_MSN_14,EmOHuC/o0o,com.sec.android.app.shealth,,79d084d6-699a-479e-a7f0-45cc4b060a70,f5df5186-c88b-49be-9d0d-d406986a7be2,1,
,null,,,2022-04-03 19:22:39.577,2022-03-22 04:10:30.871,1,13,SP_MSN_13,EmOHuC/o0o,com.sec.android.app.shealth,,79d084d6-699a-479e-a7f0-45cc4b060a70,96c11eab-ccba-4934-bdf4-51bf9cd88b36,1,
,null,,,2022-04-04 02:36:32.170,2022-03-22 04:10:30.871,1,13,SP_MSN_11,EmOHuC/o0o,com.sec.android.app.shealth,,79d084d6-699a-479e-a7f0-45cc4b060a70,843755a6-ade0-4586-8a71-794f68ad5cbb,1,
,null,,,2022-04-06 03:30:09.189,2022-03-22 04:10:30.872,1,15,SP_MSN_04,EmOHuC/o0o,com.sec.android.app.shealth,,79d084d6-699a-479e-a7f0-45cc4b060a70,137be94d-4351-4f4b-b4e3-f85484af8780,1,
,["SP_SVY1_ANS_06"],,,2022-04-08 15:52:06.739,2022-03-22 04:10:30.872,1,14,SP_MSN_01,EmOHuC/o0o,com.sec.android.app.shealth,,79d084d6-699a-479e-a7f0-45cc4b060a70,72a454d7-f76a-4828-9ce5-1f207cd97b7b,1,
,null,,,2022-04-08 15:53:48.754,2022-03-22 04:10:30.872,1,16,SP_MSN_18,EmOHuC/o0o,com.sec.android.app.shealth,,79d084d6-699a-479e-a7f0-45cc4b060a70,5fce5aa2-c8eb-4db5-86a1-a32c7905ce54,1,
,null,,,2022-04-08 15:52:13.908,2022-03-22 04:10:30.872,1,14,SP_MSN_04,EmOHuC/o0o,com.sec.android.app.shealth,,79d084d6-699a-479e-a7f0-45cc4b060a70,227dae64-f367-4ecd-8c13-1ac7dd3f4f8c,1,
,["SP_SVY1_ANS_06"],,,2022-04-08 15:52:54.966,2022-03-22 04:10:30.872,1,15,SP_MSN_01,EmOHuC/o0o,com.sec.android.app.shealth,,79d084d6-699a-479e-a7f0-45cc4b060a70,686efed7-0a10-43c9-be9a-e98903f8b277,1,
,null,,,2022-04-08 15:52:16.215,2022-03-22 04:10:30.872,1,14,SP_MSN_05,EmOHuC/o0o,com.sec.android.app.shealth,,79d084d6-699a-479e-a7f0-45cc4b060a70,266c2308-8b84-451e-a5c8-0f1930ba5630,1,
,null,,,2022-04-08 15:54:05.987,2022-03-22 04:10:30.873,1,17,SP_MSN_05,EmOHuC/o0o,com.sec.android.app.shealth,,79d084d6-699a-479e-a7f0-45cc4b060a70,686ffe5c-bd77-4475-9a92-d6e40b7fe149,1,
,null,,,2022-04-08 15:52:16.836,2022-03-22 04:10:30.872,1,14,SP_MSN_02,EmOHuC/o0o,com.sec.android.app.shealth,,79d084d6-699a-479e-a7f0-45cc4b060a70,9f40279b-9d55-42ef-ba65-08cd26455389,1,
,["SP_SVY1_ANS_06"],,,2022-04-08 15:53:03.126,2022-03-22 04:10:30.872,1,16,SP_MSN_01,EmOHuC/o0o,com.sec.android.app.shealth,,79d084d6-699a-479e-a7f0-45cc4b060a70,1f0b1fbe-09ae-4643-8133-0c091db9d372,1,
,null,,,2022-04-08 15:53:07.236,2022-03-22 04:10:30.872,1,16,SP_MSN_05,EmOHuC/o0o,com.sec.android.app.shealth,,79d084d6-699a-479e-a7f0-45cc4b060a70,3fc30700-e028-4b2f-aee1-a0d94ab17bf4,1,
,null,,,2022-04-08 15:54:00.419,2022-03-22 04:10:30.873,1,17,SP_MSN_04,EmOHuC/o0o,com.sec.android.app.shealth,,79d084d6-699a-479e-a7f0-45cc4b060a70,19095a0a-104a-48cc-b297-a453036bf8fc,1,
,null,,,2022-04-08 15:52:58.628,2022-03-22 04:10:30.872,1,15,SP_MSN_05,EmOHuC/o0o,com.sec.android.app.shealth,,79d084d6-699a-479e-a7f0-45cc4b060a70,67f6e57c-b96f-418a-ac24-2ac3ee6cdbca,1,
,null,,,2022-04-08 15:53:05.530,2022-03-22 04:10:30.872,1,16,SP_MSN_04,EmOHuC/o0o,com.sec.android.app.shealth,,79d084d6-699a-479e-a7f0-45cc4b060a70,b88590ff-3003-456f-871c-049c09b092f9,1,
,["SP_SVY1_ANS_06"],,,2022-04-08 15:53:53.333,2022-03-22 04:10:30.873,1,17,SP_MSN_01,EmOHuC/o0o,com.sec.android.app.shealth,,79d084d6-699a-479e-a7f0-45cc4b060a70,5fe83e98-fe7e-46cf-9c4a-32946c37696c,1,
,null,,,2022-04-09 03:07:50.312,2022-03-22 04:10:30.873,1,18,SP_MSN_04,EmOHuC/o0o,com.sec.android.app.shealth,,79d084d6-699a-479e-a7f0-45cc4b060a70,0ffb2a9b-0275-43f6-939a-0d36a886f954,1,
,null,,,2022-04-11 09:33:42.976,2022-03-22 04:10:30.873,1,19,SP_MSN_05,EmOHuC/o0o,com.sec.android.app.shealth,,79d084d6-699a-479e-a7f0-45cc4b060a70,d89c80fb-a7a9-4f71-b574-d0f898b1ceb4,1,
,null,,,2022-04-11 09:33:20.384,2022-03-22 04:10:30.873,1,18,SP_MSN_05,EmOHuC/o0o,com.sec.android.app.shealth,,79d084d6-699a-479e-a7f0-45cc4b060a70,a3e90ccc-668b-46ab-83a1-4f0a896da20c,1,
