com.samsung.shealth.food_favorite,6302031,1
amount,food_type,update_time,create_time,name,unit,favoriteid,calorie,deviceuuid,pkg_name,datauuid,food_info_id
0.0,2,2024-08-05 18:05:00.863,2024-08-05 18:05:00.863,2cfc9a68-7630-4b10-b077-39ea62907c0a,,2cfc9a68-7630-4b10-b077-39ea62907c0a,0.0,EmOHuC/o0o,com.sec.android.app.shealth,7ed529d7-79bc-4869-9b98-9928a07c65b4,bb5d3455-94d7-42f4-b0d3-a0d139a8f7fe,
0.0,2,2024-08-05 18:01:02.410,2024-08-05 18:01:02.410,17c5f5ef-8e76-457f-a484-5d91390f15bc,,17c5f5ef-8e76-457f-a484-5d91390f15bc,0.0,EmOHuC/o0o,com.sec.android.app.shealth,57e2d463-2fa7-4e18-b483-6bdfa989cc6f,e8733fec-8c8b-4a2f-9575-a9423da8d810,
1.0,3,2024-08-05 18:04:53.831,2024-08-05 18:04:53.831,ON Protein Powder,120001,b212fbe4-89f9-4c1c-81de-46d0fb44639f,117.0,EmOHuC/o0o,com.sec.android.app.shealth,42bf10c8-8963-4de3-8555-d04c13cace61,bb5d3455-94d7-42f4-b0d3-a0d139a8f7fe,
0.0,2,2024-08-05 18:01:02.410,2024-08-05 18:01:02.410,17c5f5ef-8e76-457f-a484-5d91390f15bc,,17c5f5ef-8e76-457f-a484-5d91390f15bc,0.0,EmOHuC/o0o,com.sec.android.app.shealth,9c55b5e4-59ce-4f4f-bf80-64944bb32a8e,7aaa7576-256b-4e1d-8441-de4f6b2e9c91,
0.0,2,2024-08-06 03:48:16.958,2024-08-06 03:48:16.958,916777be-a7f5-44d6-870e-01aca1f9a1fc,,916777be-a7f5-44d6-870e-01aca1f9a1fc,0.0,EmOHuC/o0o,com.sec.android.app.shealth,d03a80e0-1890-4ece-8fb1-55b5edd91d43,2fd6390e-f4fd-4e49-b1cb-be5a2032c086,
0.0,2,2024-08-06 03:37:27.652,2024-08-06 03:37:27.652,fe54ebe5-3ca4-4df5-968f-6995c6c2956d,,fe54ebe5-3ca4-4df5-968f-6995c6c2956d,0.0,EmOHuC/o0o,com.sec.android.app.shealth,eabf295d-ede3-4456-8828-e33809806c44,824d9232-743e-4e68-a44a-9a556eb815eb,
0.0,2,2024-08-06 03:37:27.652,2024-08-06 03:37:27.652,fe54ebe5-3ca4-4df5-968f-6995c6c2956d,,fe54ebe5-3ca4-4df5-968f-6995c6c2956d,0.0,EmOHuC/o0o,com.sec.android.app.shealth,fb668c86-757b-4c0b-b038-251026aa4bff,d4c31114-2be3-4c11-b6e8-953d6a553751,
0.0,2,2024-08-06 03:39:03.026,2024-08-06 03:39:03.026,f06509ce-37f8-45b9-9104-a2aec2413505,,f06509ce-37f8-45b9-9104-a2aec2413505,0.0,EmOHuC/o0o,com.sec.android.app.shealth,fce3eb37-c7de-4017-a3ef-c0f242008902,5a43fec6-fe4b-4e6d-ab47-66ecfc215ce9,
0.0,2,2024-08-06 03:49:32.762,2024-08-06 03:49:32.762,a9b00128-0343-4285-9345-55bbab530963,,a9b00128-0343-4285-9345-55bbab530963,0.0,EmOHuC/o0o,com.sec.android.app.shealth,98fab8d3-cc2a-4b21-aa7c-0a6adf9b54ca,49569d06-432e-46cb-81ac-fe16021d35ad,
0.0,2,2024-08-06 03:49:32.762,2024-08-06 03:49:32.762,a9b00128-0343-4285-9345-55bbab530963,,a9b00128-0343-4285-9345-55bbab530963,0.0,EmOHuC/o0o,com.sec.android.app.shealth,f34a0853-0c1c-4aad-8450-8dd71c18ccad,e8733fec-8c8b-4a2f-9575-a9423da8d810,
0.0,2,2024-08-06 03:39:03.026,2024-08-06 03:39:03.026,f06509ce-37f8-45b9-9104-a2aec2413505,,f06509ce-37f8-45b9-9104-a2aec2413505,0.0,EmOHuC/o0o,com.sec.android.app.shealth,a026134f-e107-4edd-b6b4-4d8ce5a7be62,e2c9b4d6-af02-4be7-b573-1bed5f5c368a,
