com.samsung.shealth.activity.day_summary,6302031,6
movement_type,create_sh_ver,energy_type,exercise_time,step_count,exercise_calorie_target,active_time,target,others_time,modify_sh_ver,update_time,floors_target,create_time,floor_count,dynamic_active_time_target,exercise_time_target,goal,longest_active_time,score,move_hourly_count,duration_type,move_hourly_target,distance,dynamic_active_time,calorie,extra_data,deviceuuid,run_time,pkg_name,walk_time,longest_idle_time,datauuid,day_time
,,,,4063,,2676573,90,0,,2021-10-24 20:39:10.923,,2021-10-23 18:30:00.773,,,,-1,60000,48,,,,3203.318,,174.06435,e7e27e5a-87eb-4f3a-8ba8-1659c751d534.extra_data.json,BpIW3aQ9BJ,16000,com.sec.android.app.shealth,2660573,15120000,e7e27e5a-87eb-4f3a-8ba8-1659c751d534,2021-10-24 00:00:00.000,
,,,,9881,,5193953,90,0,,2021-10-25 22:19:09.260,,2021-10-24 18:30:00.653,,,,-1,2553062,95,,,,7018.5723,,436.2972,9956af10-5b7d-40bb-bc2c-7b29f73ae285.extra_data.json,BpIW3aQ9BJ,4400,com.sec.android.app.shealth,5189553,15300000,9956af10-5b7d-40bb-bc2c-7b29f73ae285,2021-10-25 00:00:00.000,
,,,,4508,,2920098,90,0,,2021-10-25 03:07:59.016,,2021-10-21 18:30:00.483,,,,-1,60000,53,,,,3571.835,,202.35764,a4ae8c7a-63de-4f09-aa6c-6c5d0df3ae37.extra_data.json,BpIW3aQ9BJ,84675,com.sec.android.app.shealth,2835423,19080000,a4ae8c7a-63de-4f09-aa6c-6c5d0df3ae37,2021-10-22 00:00:00.000,
,,,,4967,,11231045,90,8694650,,2021-10-26 18:35:47.182,,2021-10-25 18:30:00.377,,,,-1,8694650,206,,,,3553.7544,,949.46246,6e161bcd-b4bb-4138-9026-529d715238cf.extra_data.json,BpIW3aQ9BJ,19600,com.sec.android.app.shealth,2516795,23100000,6e161bcd-b4bb-4138-9026-529d715238cf,2021-10-26 00:00:00.000,
,,,,6714,,5329811,90,2076989,,2021-10-28 02:36:03.843,,2021-10-26 18:30:00.678,,,,-1,1114067,97,,,,11623.42,,563.0044,4f4e7004-8070-441f-990d-889af392bd9c.extra_data.json,BpIW3aQ9BJ,0,com.sec.android.app.shealth,3252822,12300000,4f4e7004-8070-441f-990d-889af392bd9c,2021-10-27 00:00:00.000,
,,,,5807,,3734770,90,0,,2021-10-29 19:05:54.027,,2021-10-28 18:30:00.513,,,,-1,120000,67,,,,4545.229,,252.01071,20082ca6-2869-4b64-af8b-3faccee51fa3.extra_data.json,BpIW3aQ9BJ,26400,com.sec.android.app.shealth,3708370,17880000,20082ca6-2869-4b64-af8b-3faccee51fa3,2021-10-29 00:00:00.000,
,,,,3515,,2242936,90,0,,2021-10-29 02:33:17.942,,2021-10-27 18:30:00.475,,,,-1,180000,41,,,,2743.5347,,151.18379,d335f5d7-be72-42bb-8718-1a2c4ec11a65.extra_data.json,BpIW3aQ9BJ,10000,com.sec.android.app.shealth,2232936,24060000,d335f5d7-be72-42bb-8718-1a2c4ec11a65,2021-10-28 00:00:00.000,
,,,,3938,,2612438,90,0,,2021-11-06 09:06:50.348,,2021-10-10 18:30:01.663,,,,-1,60000,47,,,,3021.9219,,167.22565,f2b609d2-4a18-4281-ac93-be8e01168fc0.extra_data.json,BpIW3aQ9BJ,15200,com.sec.android.app.shealth,2597238,24780000,f2b609d2-4a18-4281-ac93-be8e01168fc0,2021-10-11 00:00:00.000,
,,,,4560,,3013830,90,0,,2021-11-26 03:32:05.614,,2021-11-26 03:30:51.228,,,,-1,120000,54,,,,3631.4163,,193.78911,356b6be1-6213-4d1c-8f0e-2102c962b256.extra_data.json,Rju+KmA1Z1,32400,com.sec.android.app.shealth,2981430,27180000,356b6be1-6213-4d1c-8f0e-2102c962b256,2021-11-03 00:00:00.000,
,,,,2915,,1881669,90,0,,2021-11-26 03:30:54.877,,2021-11-26 03:30:51.981,,,,-1,360000,34,,,,2198.8704,,105.19002,7b9bbac4-7649-4ef4-bb0c-8bc809382596.extra_data.json,Rju+KmA1Z1,16400,com.sec.android.app.shealth,1865269,29460000,7b9bbac4-7649-4ef4-bb0c-8bc809382596,2021-11-25 00:00:00.000,
,,,,3362,,2227235,90,0,,2021-11-26 03:32:05.162,,2021-11-26 03:30:50.946,,,,-1,60000,40,,,,2607.7205,,131.2699,43570f0b-2682-46ba-a72c-a54de32e8488.extra_data.json,Rju+KmA1Z1,22800,com.sec.android.app.shealth,2204435,9240000,43570f0b-2682-46ba-a72c-a54de32e8488,2021-10-31 00:00:00.000,
,,,,4498,,2973787,90,0,,2021-11-26 03:32:04.985,,2021-11-26 03:30:50.832,,,,-1,120000,54,,,,3513.8179,,191.27115,144c6652-0017-473a-9d54-11f1f39f2001.extra_data.json,Rju+KmA1Z1,18400,com.sec.android.app.shealth,2955387,9540000,144c6652-0017-473a-9d54-11f1f39f2001,2021-10-30 00:00:00.000,
,,,,3662,,3631637,90,1231302,,2021-11-26 03:32:05.491,,2021-11-26 03:30:51.077,,,,-1,1231302,65,,,,6782.325,,326.35522,52bdf538-17a4-4c77-b826-fe2ae23c8df1.extra_data.json,Rju+KmA1Z1,9200,com.sec.android.app.shealth,2391135,14940000,52bdf538-17a4-4c77-b826-fe2ae23c8df1,2021-11-02 00:00:00.000,
,,,,3549,,4503303,90,2276946,,2021-11-26 03:32:05.337,,2021-11-26 03:30:50.997,,,,-1,1293954,82,,,,10286.02,,442.8209,33ca9c38-edd6-4314-9f47-77a62aff6741.extra_data.json,Rju+KmA1Z1,35200,com.sec.android.app.shealth,2191157,18180000,33ca9c38-edd6-4314-9f47-77a62aff6741,2021-11-01 00:00:00.000,
,,,,7270,,6410274,90,4197526,,2021-11-26 03:32:06.854,,2021-11-26 03:30:51.823,,,,-1,4197526,117,,,,2558.5042,,949.1711,2e2cec4f-6177-483b-bd01-615cf3070fa9.extra_data.json,Rju+KmA1Z1,3878,com.sec.android.app.shealth,2208870,22020000,2e2cec4f-6177-483b-bd01-615cf3070fa9,2021-11-17 00:00:00.000,
,,,,1144,,757708,90,0,,2021-11-26 03:32:06.675,,2021-11-13 18:30:00.452,,,,-1,41354,13,,,,879.30176,,40.669884,c999f219-a4ea-4003-b527-32ecca858959.extra_data.json,Rju+KmA1Z1,8000,com.sec.android.app.shealth,749708,49320000,c999f219-a4ea-4003-b527-32ecca858959,2021-11-14 00:00:00.000,
,,,,9266,,6586368,90,0,,2021-11-26 03:32:07.267,,2021-11-26 03:30:51.914,,,,-1,1661195,121,,,,7117.0225,,465.5153,31edb3ab-b6f3-43cd-a22e-d88c76176bb3.extra_data.json,Rju+KmA1Z1,1562,com.sec.android.app.shealth,6584806,19260000,31edb3ab-b6f3-43cd-a22e-d88c76176bb3,2021-11-22 00:00:00.000,
,,,,4934,,10486014,90,8662941,,2021-11-26 03:32:07.015,,2021-11-26 03:30:51.870,,,,-1,4797001,193,,,,2558.6262,,1506.6265,21910844-b9a0-4380-9953-309dfc065cd4.extra_data.json,Rju+KmA1Z1,6400,com.sec.android.app.shealth,1816673,23280000,21910844-b9a0-4380-9953-309dfc065cd4,2021-11-19 00:00:00.000,
,,,,6377,,4209354,90,0,,2021-11-26 03:32:06.334,,2021-11-26 03:30:51.661,,,,-1,180000,76,,,,4945.451,,250.21982,38ddd8dd-4770-4712-ae1c-75721bbdb0c3.extra_data.json,Rju+KmA1Z1,12800,com.sec.android.app.shealth,4196554,13560000,38ddd8dd-4770-4712-ae1c-75721bbdb0c3,2021-11-09 00:00:00.000,
