com.samsung.shealth.step_daily_trend,6302031,6
binning_data,update_time,create_time,source_pkg_name,source_type,count,speed,distance,calorie,deviceuuid,pkg_name,datauuid,day_time
8e5c2421-cb13-48a7-a3c7-fae99cba2b69.binning_data.json,2022-03-21 17:49:32.367,2022-03-21 17:49:32.367,com.sec.android.app.shealth,0,1687,1.2881668,1273.0123,69.54907,EmOHuC/o0o,com.sec.android.app.shealth,8e5c2421-cb13-48a7-a3c7-fae99cba2b69,1638403200000,
3309dc0a-7810-4153-bb9a-6baff83f9c1f.binning_data.json,2022-03-21 17:49:32.396,2022-03-21 17:49:32.396,com.sec.android.app.shealth,0,1506,1.2902738,1148.1803,63.232327,EmOHuC/o0o,com.sec.android.app.shealth,3309dc0a-7810-4153-bb9a-6baff83f9c1f,1645660800000,
71f6265c-3e15-4e84-a89c-012b0b11278b.binning_data.json,2022-03-21 17:49:32.384,2022-03-21 17:49:32.384,com.sec.android.app.shealth,0,5383,1.4904572,4111.6914,226.53441,EmOHuC/o0o,com.sec.android.app.shealth,71f6265c-3e15-4e84-a89c-012b0b11278b,1642636800000,
23c89855-be8b-421d-9816-f0bdbde4955e.binning_data.json,2022-03-21 17:49:32.410,2022-03-21 17:49:32.410,com.sec.android.app.shealth,-2,5206,1.3038056,3893.7463,199.38945,VfS0qUERdZ,com.sec.android.app.shealth,23c89855-be8b-421d-9816-f0bdbde4955e,1638662400000,
e4c17fc8-9a58-4675-8b2a-c968eee45963.binning_data.json,2022-03-21 17:49:32.372,2022-03-21 17:49:32.372,com.sec.android.app.shealth,0,1086,1.2428079,825.0913,45.244034,EmOHuC/o0o,com.sec.android.app.shealth,e4c17fc8-9a58-4675-8b2a-c968eee45963,1638921600000,
daa53854-3392-42e4-9e34-7d028517cbad.binning_data.json,2022-03-21 17:49:32.368,2022-03-21 17:49:32.368,com.sec.android.app.shealth,0,3082,1.2770566,2298.9973,126.871544,EmOHuC/o0o,com.sec.android.app.shealth,daa53854-3392-42e4-9e34-7d028517cbad,1638662400000,
9c97a8a2-e156-421a-9d82-522ce28a806f.binning_data.json,2022-03-21 17:49:32.380,2022-03-21 17:49:32.380,com.sec.android.app.shealth,0,3111,1.3105575,2346.1262,130.14246,EmOHuC/o0o,com.sec.android.app.shealth,9c97a8a2-e156-421a-9d82-522ce28a806f,1640822400000,
83509ad6-947b-4c7a-a69b-e2fb03fe28cc.binning_data.json,2022-03-21 17:49:32.410,2022-03-21 17:49:32.410,com.sec.android.app.shealth,-2,12895,1.4075083,9730.041,527.2019,VfS0qUERdZ,com.sec.android.app.shealth,83509ad6-947b-4c7a-a69b-e2fb03fe28cc,1638835200000,
5783dc18-0df0-49b6-b4a4-4572c3f2bb68.binning_data.json,2022-03-21 17:49:32.401,2022-03-21 17:49:32.401,com.sec.android.app.shealth,-2,10443,1.6226717,8287.911,449.0941,VfS0qUERdZ,com.sec.android.app.shealth,5783dc18-0df0-49b6-b4a4-4572c3f2bb68,1633996800000,
aa7a7433-d953-4bd0-86e5-b874860a0b1c.binning_data.json,2022-03-21 17:49:32.385,2022-03-21 17:49:32.385,com.sec.android.app.shealth,0,1610,1.3824285,1250.0814,68.62225,EmOHuC/o0o,com.sec.android.app.shealth,aa7a7433-d953-4bd0-86e5-b874860a0b1c,1642809600000,
