com.samsung.health.food_info,6302031,7
potassium,vitamin_a,vitamin_c,vitamin_d,cholesterol,description,custom,provider_food_id,metric_serving_amount,sodium,dietary_fiber,total_fat,update_time,create_time,monosaturated_fat,protein,polysaturated_fat,iron,name,sugar,added_sugar,calcium,calorie,serving_description,info_provider,deviceuuid,metric_serving_unit,saturated_fat,trans_fat,pkg_name,carbohydrate,unit_count_per_calorie,datauuid,default_number_of_serving_unit
198.0,1.8888888,6.5555553,0.0,32.0,,,fatsecret-2654,100,40.0,0.8,1.45,2024-08-13 06:35:39.547,2024-08-13 06:35:39.547,0.477,12.31,0.338,3.5,"Chicken or Turkey Garden Salad (Chicken and/or Turkey, Other Vegetables Excluding Tomato and Carrots)",1.13,,1.3846154,72.0,g,,EmOHuC/o0o,g,0.399,,com.sec.android.app.shealth,1.93,1.3888888,64f88d14-4284-4ac6-a2d4-9304e8a58f06,100,
,0.0,0.0,0.0,0.0,,,fatsecret-38475007,100,537.0,1.1,21.8,2025-03-07 16:39:54.281,2024-08-13 06:36:11.930,8.8,7.2,3.1,0.0,Bhelpuri & Sevpuri(Garden),8.0,,0.0,392.0,serving,,3QItrwNcp5,g,9.9,0.1,com.sec.android.app.shealth,42.0,0.25510204,ca6656a9-d141-4ac7-9bb6-50345bc00d60,1,
195.0,57.0,4.0,0.0,0.0,,,fatsecret-6034,61,42.0,1.7,0.15,2024-08-13 06:45:40.710,2024-08-06 03:48:16.863,0.009,0.57,0.071,1.0,Carrots,2.77,,1.5384616,25.0,medium,,EmOHuC/o0o,g,0.023,,com.sec.android.app.shealth,5.84,2.0,2fd6390e-f4fd-4e49-b1cb-be5a2032c086,1,
,0.0,0.0,0.0,0.0,,,fatsecret-44189260,39,561.0,,1.51,2024-08-13 09:24:26.224,2024-08-13 09:24:26.224,0.54,4.76,0.78,0.0,Wheat Chapati(ID),0.27,,0.0,110.0,serving,,EmOHuC/o0o,g,0.18,,com.sec.android.app.shealth,19.24,0.35454544,636bbac5-48f0-492c-bac6-bb6391cd1e94,1,
323.0,8.777778,63.666668,0.0,0.0,,,fatsecret-5436,207,4.0,3.7,0.56,2025-03-07 16:39:41.652,2024-08-13 06:35:39.547,0.209,1.06,0.106,1.5000001,Mango,30.64,,1.6153846,135.0,mango,,3QItrwNcp5,g,0.137,,com.sec.android.app.shealth,35.19,1.5333333,e5dd2040-cf43-4afa-bcb5-6abe53d6bd03,1,
334.0,0.0,67.77778,0.0,0.0,,,fatsecret-5598,253,8.0,0.3,0.2,2024-08-13 06:45:40.745,2024-08-13 06:45:40.745,0.008,1.42,0.056,3.3888888,Grape Juice,37.6,,1.7692307,154.0,cup,,EmOHuC/o0o,g,0.063,,com.sec.android.app.shealth,37.85,1.6428572,a93c86b8-816d-4e3c-9071-f12a583b05ef,1,
0.0,0.0,0.0,0.0,0.0,"80.0 kcal, 1",,quickinput-e305fff5-3f0f-4609-bf48-7dd2dbaeb078,0,0.0,0.0,0.0,2024-08-13 06:48:34.933,2024-08-13 06:48:34.933,0.0,0.0,0.0,0.0,Pongal,0.0,0.0,0.0,80.0,serving,,EmOHuC/o0o,120001,0.0,0.0,com.sec.android.app.shealth,0.0,1.0,ed2dba38-fccb-4887-ad24-aad978d20bd1,1,
617.0,5.7777777,11.777778,0.0,48.0,,,fatsecret-4750693,254,986.0,6.1,8.0,2025-03-05 14:28:15.826,2024-08-13 09:24:26.224,2.989,19.72,1.905,16.555555,Chicken Chili,5.7,,4.769231,226.0,cup,,3QItrwNcp5,g,2.155,,com.sec.android.app.shealth,19.68,1.1238939,3f354db3-a2e6-421c-b17e-116be3b46247,1,
269.0,16.222221,0.8888889,0.0,53.0,,,fatsecret-1107,133,98.0,0.9,14.26,2024-08-13 09:24:26.224,2024-08-13 09:24:26.224,3.897,4.68,0.575,1.0555556,Ice Cream,29.66,,12.923077,267.0,cup,,EmOHuC/o0o,g,8.801,,com.sec.android.app.shealth,32.45,0.49812734,f956b177-5190-4774-b8b5-27730a807a2b,1,
,0.0,0.0,0.0,,,,fatsecret-34936157,60,18.0,0.8,4.2,2024-08-13 09:24:26.224,2024-08-13 09:24:26.224,1.2,3.6,0.6,0.0,Kesari Halwa(MTR),24.0,,0.0,256.0,serving,,EmOHuC/o0o,g,2.4,0.0,com.sec.android.app.shealth,51.0,0.234375,946be19b-16cb-4907-b4b3-607f8c51db2d,1,
116.0,27.0,0.8888889,0.0,86.0,,,fatsecret-3806,128,484.0,0.4,24.58,2024-08-14 15:29:05.925,2024-08-08 17:46:06.840,9.207,11.1,4.166,6.5555553,Cheesecake,28.2,,4.8461537,410.0,piece (1/12 of 9" dia),,EmOHuC/o0o,g,9.83,,com.sec.android.app.shealth,37.27,0.31247452,62db73cc-7333-462d-825f-2f28b424a9bb,1,
720.0,0.0,0.0,0.0,32.0,"320.0 kcal, 1",,quickinput-2889b44e-9ae1-4483-9e9c-c467a6db6abf,1,920.0,4.8,11.7,2024-08-14 16:43:30.786,2024-08-14 16:41:28.845,0.0,31.5,0.0,0.0,Eatclub Paneer tikka,4.7,0.0,0.0,320.0,serving,,EmOHuC/o0o,120001,0.0,0.0,com.sec.android.app.shealth,24.8,1.0,e94c95f8-fbcb-4adc-872e-ed3e745bee2d,1,
246.0,0.0,0.0,0.0,0.0,"18.0 kcal, 1",,quickinput-626229b8-7354-45a2-90c9-259a24683a99,1,0.0,0.9,0.0,2024-08-19 10:46:54.262,2024-08-19 10:45:45.958,0.0,0.8,0.0,0.0,Ivy gaurd,0.0,0.0,0.0,18.0,serving,,EmOHuC/o0o,120001,0.0,0.0,com.sec.android.app.shealth,0.0,1.0,7527bab9-cafe-41fe-abe8-0a5001e3621e,1,
252.0,5.5555553,79.11111,0.0,0.0,,,fatsecret-6506,185,548.0,4.8,5.44,2024-08-19 10:46:54.280,2024-08-19 10:46:54.280,2.297,3.14,1.717,3.6111112,Cooked Cauliflower,2.29,,2.3076923,81.0,cup,,EmOHuC/o0o,g,0.997,,com.sec.android.app.shealth,7.22,2.2839506,be0ba394-b3fc-450f-b89d-534d0a606462,1,
182.0,9.222222,0.8888889,0.0,18.0,,,fatsecret-1160,85,48.0,1.0,4.08,2024-08-19 10:48:14.440,2024-08-19 10:48:14.440,1.146,4.6,0.391,2.6111112,Light Ice Cream Sandwich,20.41,,8.307693,184.0,sandwich,,EmOHuC/o0o,g,2.179,,com.sec.android.app.shealth,32.77,0.46195653,7afe28d0-ac18-47a6-8564-3d90b03b15de,1,
