com.samsung.shealth.rewards,6302031,5
number_of_streak,start_time,exercise_type,device_type,exercise_session_id,update_time,create_time,source_pkg_name,program_id,title,time_offset,extra_data,deviceuuid,pkg_name,controller_id,end_time,datauuid,is_visible
1201,,11007,,346a43ff-014e-498b-a1e3-0f970633edb0,2022-03-21 17:49:32.564,2021-10-27 03:06:09.601,,,1201,UTC+0530,10.876,BpIW3aQ9BJ,com.sec.android.app.shealth,sport.tracker.best.record.speed.lifetime,2021-10-27 03:05:59.327,baf6c77f-dab0-4850-ac7c-074ee907b777,1,
1201,,1001,,4a048733-3774-46e0-905d-5747f85a9e85,2022-03-21 17:49:32.181,2022-03-21 17:49:32.168,,,1201,UTC+0530,2.533,EmOHuC/o0o,com.sec.android.app.shealth,sport.tracker.best.record.speed.lifetime,2022-03-20 07:42:43.943,0d44dc38-db75-4608-b721-f15d7938dcee,0,
1203,,6003,,8e8a02c8-4fcf-41ef-aa23-bbc7381c520d,2022-03-21 17:49:32.855,2021-10-13 16:17:36.375,,,1203,UTC+0530,4220527,BpIW3aQ9BJ,com.sec.android.app.shealth,sport.tracker.best.record.duration.lifetime,2021-10-08 18:03:57.471,0b4d09bf-943c-4d8e-9696-1b1b15489b16,0,
,2021-12-17 18:30:00.000,,10009,,2022-03-21 17:49:32.494,2022-03-21 17:49:32.494,,,tracker_pedometer_reward_target_achieved,UTC+0530,"{""mTarget"":6000,""mValue"":9317}",EmOHuC/o0o,com.sec.android.app.shealth,tracker.pedometer,2021-12-17 18:30:00.000,6b951b51-0999-4248-8c0e-c239740d1611,1,
,2022-02-25 18:30:00.000,,10299999,,2022-03-21 17:49:36.369,2022-03-21 17:49:32.500,,,tracker_pedometer_reward_target_achieved,UTC+0530,"{""mTarget"":6000,""mValue"":8798}",EmOHuC/o0o,com.sec.android.app.shealth,tracker.pedometer,2022-02-25 18:30:00.000,d805b725-25fd-4cb6-a9e4-9bd0ac729548,1,
,2021-11-26 18:30:00.000,,10299999,,2022-03-21 17:49:32.499,2022-03-21 17:49:32.499,,,tracker_pedometer_reward_target_achieved,UTC+0530,"{""mTarget"":6000,""mValue"":7249}",EmOHuC/o0o,com.sec.android.app.shealth,tracker.pedometer,2021-11-26 18:30:00.000,75f01cae-da72-40e9-8faf-f6c523f3469f,1,
1200,,1002,,ec36c519-1bc4-44ba-aae7-90ae9e5fcfe4,2022-03-21 17:49:33.425,2021-12-04 14:32:41.397,,,1200,UTC+0530,701.367,Rju+KmA1Z1,com.sec.android.app.shealth,sport.tracker.best.record.distance.lifetime,2021-12-04 14:32:28.800,d3c2f0de-95a9-476d-a38c-3cd67e943f50,1,
,2022-01-08 18:30:00.000,,10299999,,2022-03-21 17:49:32.500,2022-03-21 17:49:32.500,,,tracker_pedometer_reward_target_achieved,UTC+0530,"{""mTarget"":6000,""mValue"":11351}",EmOHuC/o0o,com.sec.android.app.shealth,tracker.pedometer,2022-01-08 18:30:00.000,d7a2a323-7dfe-447d-90d8-56cf4f8c7d31,1,
,2022-01-07 18:30:00.000,,10299999,,2022-03-21 17:49:32.500,2022-03-21 17:49:32.500,,,tracker_pedometer_reward_target_achieved,UTC+0530,"{""mTarget"":6000,""mValue"":6539}",EmOHuC/o0o,com.sec.android.app.shealth,tracker.pedometer,2022-01-07 18:30:00.000,a1097bb0-8ac5-4a56-9a99-f6f4e36415a6,1,
1200,,11007,,e55bb87e-e527-41b9-af20-a1dbb306485b,2022-03-21 17:49:32.736,2022-03-21 17:49:32.728,,,1200,UTC+0530,3956.485,EmOHuC/o0o,com.sec.android.app.shealth,sport.tracker.best.record.distance.lifetime,2021-11-04 14:19:15.526,f1dacfc3-576e-49a5-9fe7-873fdc864a9a,0,
,2021-12-23 18:30:00.000,,10009,,2022-03-21 17:49:32.494,2022-03-21 17:49:32.494,,,tracker_pedometer_reward_target_achieved,UTC+0530,"{""mTarget"":6000,""mValue"":8584}",EmOHuC/o0o,com.sec.android.app.shealth,tracker.pedometer,2021-12-23 18:30:00.000,222f04c3-3907-434e-aa00-06f89416ae97,1,
1203,,11007,,111bbd4a-4076-4fcd-80e7-e1ff26bc2dc7,2022-03-21 17:49:32.647,2022-03-21 17:49:32.612,,,1203,UTC+0530,1114067,EmOHuC/o0o,com.sec.android.app.shealth,sport.tracker.best.record.duration.lifetime,2021-10-27 13:46:34.786,61d818b5-0700-4ff1-928b-9ffaa31b1f32,0,
1200,,11007,,346a43ff-014e-498b-a1e3-0f970633edb0,2022-03-21 17:49:32.736,2021-10-27 03:06:09.589,,,1200,UTC+0530,3787.3489,BpIW3aQ9BJ,com.sec.android.app.shealth,sport.tracker.best.record.distance.lifetime,2021-10-27 03:05:59.327,b912da3a-3d40-4c3b-b290-56ea32451053,0,
,2022-01-09 18:30:00.000,,10299999,,2022-03-21 17:49:32.500,2022-03-21 17:49:32.500,,,tracker_pedometer_reward_target_achieved,UTC+0530,"{""mTarget"":6000,""mValue"":11095}",EmOHuC/o0o,com.sec.android.app.shealth,tracker.pedometer,2022-01-09 18:30:00.000,c1451897-41b2-4e90-a887-be47a8b32548,1,
,2021-12-17 18:30:00.000,,10299999,,2022-03-21 17:49:32.501,2022-03-21 17:49:32.501,,,tracker_pedometer_reward_most_walking_day,UTC+0530,"{""mTarget"":-1,""mValue"":20283}",EmOHuC/o0o,com.sec.android.app.shealth,tracker.pedometer,2021-12-17 18:30:00.000,59e2c6a4-eaea-4362-9c9a-6016f0666e07,1,
,2022-02-05 18:30:00.000,,10009,,2022-03-21 17:49:32.494,2022-03-21 17:49:32.494,,,tracker_pedometer_reward_target_achieved,UTC+0530,"{""mTarget"":6000,""mValue"":6401}",EmOHuC/o0o,com.sec.android.app.shealth,tracker.pedometer,2022-02-05 18:30:00.000,2eb8c7ec-e186-4ea9-909f-b9c3a73d63c4,1,
,2021-12-26 18:30:00.000,,10299999,,2022-03-21 17:49:32.500,2022-03-21 17:49:32.500,,,tracker_pedometer_reward_target_achieved,UTC+0530,"{""mTarget"":6000,""mValue"":11855}",EmOHuC/o0o,com.sec.android.app.shealth,tracker.pedometer,2021-12-26 18:30:00.000,13e9fa7c-7da5-473f-bdca-89f281e8b1b7,1,
1200,,1001,,9a62bdfc-86f6-4f44-8548-be3779a4aa63,2022-03-21 17:49:31.361,2022-03-21 17:49:31.361,,,1200,UTC+0530,5706.865,EmOHuC/o0o,com.sec.android.app.shealth,sport.tracker.best.record.distance.lifetime,2021-12-14 17:06:52.691,7ec006a3-3585-431c-b754-a4d3f76501c8,1,
1200,,1001,,78ea1e01-9ee4-4fb3-abf5-772c5761144b,2022-03-21 17:49:31.296,2021-10-12 14:55:02.166,,,1200,UTC+0530,3983.824,BpIW3aQ9BJ,com.sec.android.app.shealth,sport.tracker.best.record.distance.lifetime,2021-10-12 14:54:33.344,a48e5152-abd9-4fa4-94ad-f3576e6ee127,0,
,2021-11-19 18:30:00.000,,10299999,,2022-03-21 17:49:32.499,2022-03-21 17:49:32.499,,,tracker_pedometer_reward_target_achieved,UTC+0530,"{""mTarget"":6000,""mValue"":13310}",EmOHuC/o0o,com.sec.android.app.shealth,tracker.pedometer,2021-11-19 18:30:00.000,60639f32-df68-4d64-bbd0-d23bde47d248,1,
,2021-12-06 18:30:00.000,,10009,,2022-03-21 17:49:32.493,2022-03-21 17:49:32.493,,,tracker_pedometer_reward_target_achieved,UTC+0530,"{""mTarget"":6000,""mValue"":8409}",EmOHuC/o0o,com.sec.android.app.shealth,tracker.pedometer,2021-12-06 18:30:00.000,27bc88f9-91b1-4d81-91a7-68606a8598fa,1,
,2022-01-13 18:30:00.000,,10299999,,2022-03-21 17:49:32.500,2022-03-21 17:49:32.500,,,tracker_pedometer_reward_target_achieved,UTC+0530,"{""mTarget"":6000,""mValue"":11066}",EmOHuC/o0o,com.sec.android.app.shealth,tracker.pedometer,2022-01-13 18:30:00.000,8d63d74f-8a60-4f1e-9e5f-36e7d7dc5467,1,
,2021-12-11 18:30:00.000,,10299999,,2022-03-21 17:49:32.499,2022-03-21 17:49:32.499,,,tracker_pedometer_reward_target_achieved,UTC+0530,"{""mTarget"":6000,""mValue"":7907}",EmOHuC/o0o,com.sec.android.app.shealth,tracker.pedometer,2021-12-11 18:30:00.000,5e586a06-3e15-420a-8e27-8a3eba301971,1,
,2021-12-13 18:30:00.000,,10299999,,2022-03-21 17:49:32.499,2022-03-21 17:49:32.499,,,tracker_pedometer_reward_target_achieved,UTC+0530,"{""mTarget"":6000,""mValue"":10320}",EmOHuC/o0o,com.sec.android.app.shealth,tracker.pedometer,2021-12-13 18:30:00.000,5ca24a37-e8d4-4bbd-9b00-b8402ed42409,1,
,2021-12-30 18:30:00.000,,10299999,,2022-03-21 17:49:32.500,2022-03-21 17:49:32.500,,,tracker_pedometer_reward_target_achieved,UTC+0530,"{""mTarget"":6000,""mValue"":6956}",EmOHuC/o0o,com.sec.android.app.shealth,tracker.pedometer,2021-12-30 18:30:00.000,c99b0249-1552-410d-90a0-c01e1fe11f9c,1,
1203,,6003,,2b07ca2e-8771-4d49-91b6-fe21edede402,2022-03-21 17:49:32.869,2022-03-21 17:49:32.869,,,1203,UTC+0530,10394460,EmOHuC/o0o,com.sec.android.app.shealth,sport.tracker.best.record.duration.lifetime,2021-12-07 16:50:28.283,e2c724f7-3120-4b90-8aea-b96fa4a4a793,1,
,2021-12-30 18:30:00.000,,10009,,2022-03-21 17:49:32.494,2022-03-21 17:49:32.494,,,tracker_pedometer_reward_target_achieved,UTC+0530,"{""mTarget"":6000,""mValue"":6429}",EmOHuC/o0o,com.sec.android.app.shealth,tracker.pedometer,2021-12-30 18:30:00.000,72174148-16d6-4645-954f-e56a4399fc41,1,
,2021-12-22 18:30:00.000,,10299999,,2022-03-21 17:49:32.499,2022-03-21 17:49:32.499,,,tracker_pedometer_reward_target_achieved,UTC+0530,"{""mTarget"":6000,""mValue"":6072}",EmOHuC/o0o,com.sec.android.app.shealth,tracker.pedometer,2021-12-22 18:30:00.000,137fee0d-06e9-476f-9378-6d1acc8aed3e,1,
1203,,6003,,0d3d4bc6-514c-4ee9-bb92-bb338e3d118b,2022-03-21 17:49:32.855,2021-11-26 03:32:06.827,,,1203,UTC+0530,3443507,Rju+KmA1Z1,com.sec.android.app.shealth,sport.tracker.best.record.duration.lifetime,2021-11-05 16:38:42.983,7ab47ba6-02cf-4b0b-9299-92267648a3b1,0,
,2021-11-16 18:30:00.000,,10299999,,2022-03-21 17:49:32.499,2022-03-21 17:49:32.499,,,tracker_pedometer_reward_target_achieved,UTC+0530,"{""mTarget"":6000,""mValue"":7270}",EmOHuC/o0o,com.sec.android.app.shealth,tracker.pedometer,2021-11-16 18:30:00.000,c974638a-cf3f-49df-98ea-29d76e2f9f24,1,
,2021-12-10 18:30:00.000,,10299999,,2022-03-21 17:49:32.499,2022-03-21 17:49:32.499,,,tracker_pedometer_reward_target_achieved,UTC+0530,"{""mTarget"":6000,""mValue"":12065}",EmOHuC/o0o,com.sec.android.app.shealth,tracker.pedometer,2021-12-10 18:30:00.000,687e4851-f6d9-42ca-ad41-246339b03a76,1,
