com.samsung.shealth.food_frequent,6302031,1
eveningsnack_count,update_time,create_time,morningsnack_count,dinner_count,breakfast_count,deviceuuid,pkg_name,afternoonsnack_count,datauuid,food_info_id,lunch_count
0.0,2024-09-01 04:16:20.969,2024-08-11 06:50:57.156,2.0,0.0,0.0,EmOHuC/o0o,com.sec.android.app.shealth,0.0,af020bac-3626-457f-a169-cf6d3a56259e,16629457-3fc2-483b-8814-90398da9d6c7,0.0,
0.0,2024-09-01 04:16:20.976,2024-09-01 04:16:20.976,1.0,0.0,0.0,EmOHuC/o0o,com.sec.android.app.shealth,0.0,aa6cc136-43a9-4644-bbae-ee945a58a9a9,4ef85111-3eef-4471-b2b9-aac4e4e29095,0.0,
0.0,2024-09-01 04:16:20.984,2024-09-01 04:16:20.984,1.0,0.0,0.0,EmOHuC/o0o,com.sec.android.app.shealth,0.0,5e0cd503-5cf2-4ca9-8236-f4468ea4588e,2acee0e3-fa63-46cd-b95c-b9047922d533,0.0,
0.0,2024-09-01 04:16:20.993,2024-09-01 04:16:20.993,1.0,0.0,0.0,EmOHuC/o0o,com.sec.android.app.shealth,0.0,f8882848-1b69-425b-89e6-fc2902ff5a37,3515912e-2e5b-41aa-927c-f4cf4cbfba70,0.0,
0.0,2024-09-01 04:16:21.006,2024-09-01 04:16:21.006,1.0,0.0,0.0,EmOHuC/o0o,com.sec.android.app.shealth,0.0,fae0c122-b538-4883-bbfd-1dee006d0121,43121b24-f551-414c-b009-9d605df3fa58,0.0,
0.0,2024-09-02 16:31:40.458,2024-09-02 16:31:40.458,0.0,0.0,0.0,EmOHuC/o0o,com.sec.android.app.shealth,0.0,d45f7f6d-f161-4a25-88b7-2cdcf0d39348,a0f156fc-a63c-4bbe-9655-739d66834a07,1.0,
0.0,2024-09-02 16:32:05.900,2024-09-02 16:32:05.900,0.0,0.0,0.0,EmOHuC/o0o,com.sec.android.app.shealth,1.0,e4f764a7-4651-4844-ba4b-63c4449646ac,3ebce9ca-8ab2-44c7-9c74-7ce6ac9d3f08,0.0,
0.0,2024-09-03 18:32:28.079,2024-09-03 18:32:28.079,0.0,1.0,0.0,EmOHuC/o0o,com.sec.android.app.shealth,0.0,e24ebad1-be00-4321-a406-95c85286b583,efea9f62-ef2f-43a3-a605-9218c4c556e5,0.0,
0.0,2024-09-03 18:27:08.865,2024-09-03 18:27:08.865,0.0,0.0,0.0,EmOHuC/o0o,com.sec.android.app.shealth,0.0,079abf94-c8dc-43e4-8107-00170f7247c9,253f4885-7fe7-4e96-ae21-1f0cf09f6d76,1.0,
0.0,2024-09-03 18:32:28.102,2024-09-03 18:32:28.102,0.0,1.0,0.0,EmOHuC/o0o,com.sec.android.app.shealth,0.0,ad8c547e-abcb-44b0-a3b4-af3c13a34638,ba7755a1-753e-489d-b276-8e6754852af5,0.0,
2.0,2024-09-03 18:34:08.746,2024-08-09 14:43:08.420,0.0,0.0,1.0,EmOHuC/o0o,com.sec.android.app.shealth,0.0,63b059c2-6d7c-4274-bcd9-1c6a9544e769,9627846c-3fa1-41e9-aad8-35415617021d,0.0,
